,Feature,Importance
0,OPENBALANCE_min,0.012819811800585215
1,OPENBALANCE_max,0.010072825667903351
2,OPENBALANCE_mean,0.01109758053492053
3,REPAYPERIOD_min,0.007020686021994802
4,REPAYPERIOD_max,0.008957369637815134
5,SCORE,0.10735744104753028
6,DaysSince_FIRST_MONTH_min,0.009503135022104007
7,MonthOf_FIRST_MONTH_min,0.005440843648643112
8,YearOf_FIRST_MONTH_min,0.003927195742772696
9,DaysSince_LAST_MONTH_max,0.010878214737061563
10,MonthOf_LAST_MONTH_max,0.004641316918126227
11,YearOf_LAST_MONTH_max,0.0036967739699414466
12,DaysSince_ACCSTARTDATE_min,0.01227060372740158
13,MonthOf_ACCSTARTDATE_min,0.005756961066332247
14,YearOf_ACCSTARTDATE_min,0.00518961546948423
15,DaysSince_ACCSTARTDATE_max,0.027192703859083248
16,MonthOf_ACCSTARTDATE_max,0.00557401049840449
17,YearOf_ACCSTARTDATE_max,0.013795775881642394
18,DaysSince_SEARCHDATE_min,0.009759641912486
19,MonthOf_SEARCHDATE_min,0.00439548229968504
20,YearOf_SEARCHDATE_min,0.0015876045567468143
21,DaysSince_SEARCHDATE_max,0.010322781282218335
22,MonthOf_SEARCHDATE_max,0.004094385867476029
23,YearOf_SEARCHDATE_max,0.0017110682526422884
24,OpenBalance_Mean_perCLASS,0.0006793592279104097
25,OpenBalance_Sum_perCLASS,0.0008745976951893507
26,OpenBalance_Max_perCLASS,0.0
27,OpenBalance_Min_perCLASS,0.0
28,OpenBalance_Std_perCLASS,0.0008341765349793811
29,CLASS_STANDARD,0.0008504583239162569
30,PC_1,0.1257332088649304
31,PC_2,0.020548983727484208
32,PC_3,0.029511343475965377
33,PC_4,0.030570426941860775
34,PC_5,0.015830203352083287
35,PC_6,0.014613343719307418
36,PC_7,0.009667866848590442
37,PC_8,0.012004830221177109
38,PC_9,0.016042319485490057
39,PC_10,0.009759562573042816
40,PC_11,0.014466354375945808
41,PC_12,0.01541917811022589
42,PC_13,0.0112770006686007
43,PC_14,0.013180250680139
44,PC_15,0.009728271882456485
45,PC_16,0.009254645126942488
46,PC_17,0.011134521697065549
47,PC_18,0.012204347600721154
48,PC_19,0.01487131108108481
49,PC_20,0.028055195596280738
50,PC_21,0.00946088120595124
51,PC_22,0.027610459552341354
52,PC_23,0.01497634379918742
53,PC_24,0.038837100826756905
54,PC_25,0.012106509266339441
55,PC_26,0.010415065897126615
56,PC_27,0.008747280796588802
57,PC_28,0.00918680851655116
58,PC_29,0.01314950779749622
59,PC_30,0.01579764649687006
60,PC_31,0.01715600599429375
61,PC_32,0.01786511083988964
62,PC_33,0.009337448595128679
63,PC_34,0.009608334132139948
64,PC_35,0.008353934850340814
65,PC_36,0.008575835974206846
66,PC_37,0.008470341312180335
67,PC_38,0.008522621726876902
68,PC_39,0.008769811769022409
69,PC_40,0.009457406661771297
70,PC_41,0.009419956754548911
